Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
3-pack Liner Socks,women,$14.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0266875001.html,"https://lp2.hm.com/hmgoepprod?set=source[/8a/60/8a60c45ef050ab00da59f8d7e62622ceab056d46.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
3-pack Liner Socks,women,$12.99,N/A,White||Black||Gray,https://www2.hm.com/en_ca/productpage.0160442010.html,"https://lp2.hm.com/hmgoepprod?set=source[/94/1c/941c494754795ccac51c242dc414b92032a6417c.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
7-pack Ankle Socks,women,$14.99,N/A,Light gray melange/patterned||White/Hearts||White/dotted||Brown/leopard print,https://www2.hm.com/en_ca/productpage.0631536021.html,"https://lp2.hm.com/hmgoepprod?set=source[/ae/76/ae760c15fff04172d3c67cab53c24b5c867d6d9d.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
Platform Sneakers,women,$34.99,$10.99,White||Silver-colored,https://www2.hm.com/en_ca/productpage.0736489013.html,"https://lp2.hm.com/hmgoepprod?set=source[/45/22/4522363f145f6e3dbd3635c8ccd79bb5fd58d6d2.jpg],origin[dam],category[ladies_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Faux Suede Sneakers,women,$39.99,$20.99,Silver-colored/white,https://www2.hm.com/en_ca/productpage.0907506001.html,"https://lp2.hm.com/hmgoepprod?set=source[/8f/5e/8f5e0ff2224b10534041225479f2ba408d206dcd.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Sneakers,women,$29.99,$24.99,N/A,https://www2.hm.com/en_ca/productpage.0889713001.html,"https://lp2.hm.com/hmgoepprod?set=source[/dd/09/dd0919c92f43ed38a27c42fab446d9ef1126f9a5.jpg],origin[dam],category[ladies_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Sneakers,women,$59.99,$26.99,Light gray/silver-colored,https://www2.hm.com/en_ca/productpage.0892983004.html,"https://lp2.hm.com/hmgoepprod?set=source[/9c/df/9cdfa5559cdf202c038d74c0206645f9ca1237da.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Fully-fashioned Shoes,women,$34.99,$24.99,Neon pink,https://www2.hm.com/en_ca/productpage.0808617001.html,"https://lp2.hm.com/hmgoepprod?set=source[/03/fd/03fd4ec6f1d8265cc6f6982228e540027c3db6c1.jpg],origin[dam],category[ladies_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",shoes,H&M
Sneakers,women,$34.99,$21.99,Light beige,https://www2.hm.com/en_ca/productpage.0894685001.html,"https://lp2.hm.com/hmgoepprod?set=source[/2c/5b/2c5bac936af48c93881ba34c2b6cf5195043375a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",sneakers,H&M
Platform Sneakers,women,$39.99,$20.99,Light yellow,https://www2.hm.com/en_ca/productpage.0860982001.html,"https://lp2.hm.com/hmgoepprod?set=source[/58/2e/582ef906935195424cc91b42ffac6eeed0e35cca.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
