Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Nike Everyday Max Cushioned Training No-Show Socks (3 Pairs),Unisex,$24.00,N/A,Black/Anthracite/White || White/Wolf Grey/Black, https://www.nike.com/ca/t/everyday-max-cushioned-training-no-show-socks-0vplLh/SX6964-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/f1968331-e8f8-4586-9f9d-fff1b0b191f5/everyday-max-cushioned-training-no-show-socks-0vplLh.jpg,Socks,Nike
Nike Everyday Lightweight Training No-Show Socks (3 Pairs),Unisex,$18.00,N/A,Black/White || Multi-Colour || White/Black, https://www.nike.com/ca/t/everyday-lightweight-training-no-show-socks-StC3zw/SX7678-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/mmqpdm5dsi8vzxli443s/everyday-lightweight-training-no-show-socks-StC3zw.jpg,Socks,Nike
Nike Everyday Cushioned Metcon Training Crew Socks,Unisex,$18.00,N/A,Black/Volt, https://www.nike.com/ca/t/everyday-cushioned-metcon-training-crew-socks-22HnJ0/CK5423-011, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/64b61167-2518-47b3-aa7d-ed2d356f25e8/everyday-cushioned-metcon-training-crew-socks-22HnJ0.jpg,Socks,Nike
Nike SNKR Sox Essential Crew Socks (2 Pairs),Unisex,$22.00,N/A,White/Black/Black || Multi-Colour || Black/White/White, https://www.nike.com/ca/t/snkr-sox-essential-crew-socks-1GV2lP/SX7166-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/ugjf4n2bxwlhyzoxz2ga/snkr-sox-essential-crew-socks-1GV2lP.jpg,Socks,Nike
Nike Spark Lightweight Ankle Running Socks,Unisex,$22.00,N/A,White || Lime Blast || Black, https://www.nike.com/ca/t/spark-lightweight-ankle-running-socks-fCWDSJ/SK0049-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/cc51bfb3-e9e5-46d5-b69e-049d9c1c5550/spark-lightweight-ankle-running-socks-fCWDSJ.jpg,Socks,Nike
Nike Academy Over-The-Calf Football Socks,Unisex,$16.00,N/A,Black/White || Varsity Royal/White || Team Red/White || White/Black || Varsity Red/White || Midnight Navy/White, https://www.nike.com/ca/t/academy-over-calf-football-socks-wwdjrW/SX4120-001, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/7c335de6-a649-4a7f-9e47-45fc9bf40b16/academy-over-calf-football-socks-wwdjrW.jpg,Socks,Nike
Nike SB Everyday Max Lightweight Skate Crew Socks (3 Pairs),Unisex,$24.00,N/A,Multi-Colour, https://www.nike.com/ca/t/sb-everyday-max-lightweight-skate-crew-socks-lQqFnR/CQ9360-902, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/2db844b3-2a14-4b86-b071-c2c0c502687f/sb-everyday-max-lightweight-skate-crew-socks-lQqFnR.jpg,Socks,Nike
Nike Essential Ankle Socks (2 Pairs),Unisex,$22.00,N/A,Black/White/White, https://www.nike.com/ca/t/essential-ankle-socks-F95Znr/SX7167-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/e0gs3qfsrb4kiyxbglmi/essential-ankle-socks-F95Znr.jpg,Socks,Nike
Nike Everyday Plus Cushioned Training No-Show Socks (3 Pairs),Unisex,$18.00,N/A,Black/White || Multi-Colour || White/Black, https://www.nike.com/ca/t/everyday-plus-cushioned-training-no-show-socks-jBXcgw/SX7840-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/9e942154-aa47-464b-b064-a08d3c41be87/everyday-plus-cushioned-training-no-show-socks-jBXcgw.jpg,Socks,Nike
Nike Elite Crew Basketball Socks,Unisex,$18.00,N/A,White/Black/Black || University Red/Black/Black || Black/White/White, https://www.nike.com/ca/t/elite-crew-basketball-socks-fTWNqG/SX7622-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/fjbh8eblheq13j88qcp2/elite-crew-basketball-socks-fTWNqG.jpg,Socks,Nike
Nike SNEAKR Sox Crew Socks,Unisex,$18.00,N/A,White/University Red, https://www.nike.com/ca/t/sneakr-sox-crew-socks-GNGCXV/DB5465-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/5a8d9342-0a84-429c-9946-cdc5bf6f21b9/sneakr-sox-crew-socks-GNGCXV.jpg,Socks,Nike
Nike Everyday Max Cushioned Crew Training Socks (3 Pairs),Unisex,$24.00,N/A,Black/Club Gold/Black, https://www.nike.com/ca/t/everyday-max-cushioned-crew-training-socks-j2NrN9/SX7837-011, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/adqboxsfliub7h5bpwe5/everyday-max-cushioned-crew-training-socks-j2NrN9.jpg,Socks,Nike
