Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Canvas Sneakers,men,$34.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0843982001.html,"https://lp2.hm.com/hmgoepprod?set=source[/42/55/425504fe7308a182a224f21ffbfea4e1fdb750af.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Slip-on Shoes,men,$29.99,N/A,Dark blue/mesh||Light beige||Black,https://www2.hm.com/en_ca/productpage.0488697026.html,"https://lp2.hm.com/hmgoepprod?set=source[/1e/50/1e509d5e9bb3e07ccf8510e1f8a95cbd641293db.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",shoes,H&M
Chunky-soled Sneakers,men,$59.99,N/A,Natural white,https://www2.hm.com/en_ca/productpage.0903362001.html,"https://lp2.hm.com/hmgoepprod?set=source[/7d/73/7d73c699ac7b0cf7dd7c07881ad7778d3c4edac7.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Sneakers,men,$34.99,N/A,White/red||White/green,https://www2.hm.com/en_ca/productpage.0893733002.html,"https://lp2.hm.com/hmgoepprod?set=source[/15/25/1525576a43d7174c6be2120e9378d5d13a2cfc0c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Fully-fashioned Sneakers,men,$59.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0839769003.html,"https://lp2.hm.com/hmgoepprod?set=source[/e6/42/e642f3e499c97ca5b135c9e890824704969a8107.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Sneakers,men,$39.99,N/A,Black/white,https://www2.hm.com/en_ca/productpage.0671809014.html,"https://lp2.hm.com/hmgoepprod?set=source[/ec/5a/ec5acca0f28b038c928d2bdae2417f2582e5fe87.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Slip-on Shoes,men,$29.99,N/A,Light beige||Black||Dark blue/mesh,https://www2.hm.com/en_ca/productpage.0488697004.html,"https://lp2.hm.com/hmgoepprod?set=source[/d7/bf/d7bf32ba4b4316d5dd5259d98b6cb3a8396df5db.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",shoes,H&M
Slip-on Shoes,men,$29.99,N/A,Black||Light beige||Dark blue/mesh,https://www2.hm.com/en_ca/productpage.0488697015.html,"https://lp2.hm.com/hmgoepprod?set=source[/bc/56/bc5665648a85e2f4f8a84a1c0a6fa144d010a3e7.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/style]",shoes,H&M
Slip-on Shoes,men,$34.99,N/A,Light beige,https://www2.hm.com/en_ca/productpage.0892465001.html,"https://lp2.hm.com/hmgoepprod?set=source[/12/7d/127db6fdede42698f69ae9097e6b0936c1066ae4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",shoes,H&M
Sneakers,men,$79.99,N/A,Khaki green||White/leather||Dark blue/suede,https://www2.hm.com/en_ca/productpage.0538358028.html,"https://lp2.hm.com/hmgoepprod?set=source[/63/f0/63f0c0915ee951ada3d15fd92cfdcd5cc90fa039.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Mesh Sneakers,men,$59.99,$34.99,Black,https://www2.hm.com/en_ca/productpage.0907034001.html,"https://lp2.hm.com/hmgoepprod?set=source[/5f/f4/5ff41da3ea275af47c829cb1566b6dd9e04ac659.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Leather Sneakers,men,$79.99,$42.99,White/light gray,https://www2.hm.com/en_ca/productpage.0888528001.html,"https://lp2.hm.com/hmgoepprod?set=source[/fd/c7/fdc784292644abc1d6289f403709b0a3e76231e6.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Sneakers,men,$79.99,$49.99,Dark blue/suede||White/leather||Khaki green,https://www2.hm.com/en_ca/productpage.0538358027.html,"https://lp2.hm.com/hmgoepprod?set=source[/ae/4b/ae4b06c4e9b11743d7530a92b7bb13b6fb3325d5.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Chunky Sneakers,men,$79.99,$42.99,White,https://www2.hm.com/en_ca/productpage.0871909001.html,"https://lp2.hm.com/hmgoepprod?set=source[/1c/5b/1c5be9b4e45e1ebd95d133f7965a3cc05afe6df7.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
